epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.8822,1.40806,3.94682,1.32627,0.08836,0.17904,0.14375,0.11546,0.71777,3.12993,0.96978,5.454e-05,5.454e-05,5.454e-05
2,38.611,1.16795,2.99165,1.20893,0.15353,0.41205,0.21791,0.18256,0.7239,2.91368,0.96139,0.00011622,0.00011622,0.00011622
3,42.9752,1.07192,2.42634,1.12638,0.2488,0.62313,0.28727,0.21862,0.76132,2.8849,0.96893,0.000175801,0.000175801,0.000175801
4,46.2192,1.01632,2.28296,1.09442,0.24429,0.63117,0.39946,0.30485,0.7972,2.45853,0.99329,0.000233281,0.000233281,0.000233281
5,49.5537,1.07853,2.09045,1.12429,0.3022,0.61266,0.39704,0.28349,0.99747,2.74461,1.11009,0.000288662,0.000288662,0.000288662
6,53.6684,1.12763,1.96255,1.1286,0.35698,0.58301,0.49824,0.35689,0.93305,2.44738,1.05628,0.000341943,0.000341943,0.000341943
7,56.6077,0.99701,1.74837,1.07812,0.38974,0.6138,0.49898,0.34398,0.99672,2.09065,1.13453,0.000393124,0.000393124,0.000393124
8,59.4478,1.10078,1.61708,1.13491,0.6178,0.49791,0.60595,0.44044,0.97547,1.88169,1.08577,0.000442206,0.000442206,0.000442206
9,62.4032,1.09725,1.59017,1.16743,0.56181,0.65786,0.64682,0.4637,0.96934,1.84396,1.06022,0.000489187,0.000489187,0.000489187
10,66.5449,1.0351,1.47022,1.12466,0.64492,0.7691,0.73489,0.54569,0.92377,1.4012,1.04523,0.000534069,0.000534069,0.000534069
11,69.5639,1.10322,1.4739,1.12583,0.70136,0.78241,0.80943,0.62889,0.88827,1.26799,1.07154,0.000576851,0.000576851,0.000576851
12,72.5283,1.07083,1.37847,1.13998,0.63713,0.75986,0.79639,0.61065,0.91079,1.37512,1.1136,0.000617534,0.000617534,0.000617534
13,75.3869,1.01891,1.30524,1.15021,0.69997,0.79928,0.81626,0.62979,0.88096,1.28401,1.08385,0.000656116,0.000656116,0.000656116
14,79.4799,1.01017,1.22008,1.12743,0.77671,0.65711,0.78452,0.57955,1.00541,1.38741,1.14737,0.000692599,0.000692599,0.000692599
15,82.4282,1.08422,1.25174,1.13031,0.72252,0.81531,0.88232,0.6565,0.92888,1.13893,1.10639,0.000699021,0.000699021,0.000699021
16,85.3816,1.05341,1.19528,1.12508,0.74402,0.78278,0.87537,0.68058,0.92088,1.15672,1.10151,0.000684022,0.000684022,0.000684022
17,88.2901,1.03219,1.08851,1.09534,0.88358,0.73673,0.88088,0.67944,0.90787,1.1206,1.0848,0.000669024,0.000669024,0.000669024
18,91.6627,1.00137,1.08708,1.11148,0.74758,0.84141,0.89147,0.66569,0.91096,1.03061,1.07873,0.000654025,0.000654025,0.000654025
19,95.1984,1.01465,1.07571,1.18435,0.96019,0.86629,0.95465,0.759,0.8465,0.80646,1.0579,0.000639027,0.000639027,0.000639027
20,98.1317,0.90816,0.99333,1.08364,0.81336,0.91303,0.92689,0.72263,0.81151,0.88896,1.0366,0.000624028,0.000624028,0.000624028
21,100.825,0.90549,0.98356,1.05901,0.85068,0.82438,0.89675,0.70298,0.81326,0.93629,1.04209,0.00060903,0.00060903,0.00060903
22,103.787,0.95159,0.98768,1.14915,0.7526,0.87524,0.91091,0.71105,0.81489,0.90007,1.04933,0.000594031,0.000594031,0.000594031
23,107.727,0.91071,0.9196,1.05999,0.81029,0.7992,0.90897,0.69942,0.8803,0.95247,1.0557,0.000579033,0.000579033,0.000579033
24,110.514,0.98063,0.95925,1.11169,0.85116,0.88007,0.94584,0.74913,0.77994,0.80941,1.0144,0.000564034,0.000564034,0.000564034
25,113.309,0.94252,0.86003,1.10913,0.85109,0.87848,0.94387,0.76682,0.7632,0.74691,1.00653,0.000549036,0.000549036,0.000549036
26,116.236,0.9077,0.94307,1.0894,0.85913,0.91315,0.91936,0.76028,0.7328,0.77218,0.9982,0.000534037,0.000534037,0.000534037
27,120.136,0.86206,0.8031,1.06072,0.85505,0.85877,0.91691,0.74524,0.74668,0.83641,1.00589,0.000519039,0.000519039,0.000519039
28,123.306,0.86981,0.82316,1.03953,0.94167,0.82545,0.94306,0.75856,0.7893,0.79635,1.02247,0.00050404,0.00050404,0.00050404
29,125.997,0.86585,0.79111,1.06072,0.97425,0.89481,0.96252,0.77945,0.74635,0.69536,0.99356,0.000489042,0.000489042,0.000489042
30,129.035,0.85119,0.94225,1.06224,0.9125,0.95968,0.96456,0.79811,0.69917,0.60984,0.97231,0.000474043,0.000474043,0.000474043
31,132.685,0.90224,0.84724,1.05133,0.90643,0.92174,0.94941,0.78712,0.67728,0.6907,0.97165,0.000459045,0.000459045,0.000459045
32,135.918,0.8379,0.81872,1.04039,0.93496,0.90145,0.94194,0.76528,0.69473,0.62449,0.97688,0.000444046,0.000444046,0.000444046
33,138.853,0.82881,0.77343,1.03824,0.95169,0.90963,0.9386,0.7695,0.70956,0.60728,0.97068,0.000429048,0.000429048,0.000429048
34,141.775,0.82348,0.7686,1.05693,0.92469,0.92535,0.94941,0.7724,0.73362,0.5964,0.97796,0.000414049,0.000414049,0.000414049
35,144.742,0.82085,0.74394,1.01999,0.92993,0.89372,0.94711,0.78249,0.72926,0.64661,0.98525,0.000399051,0.000399051,0.000399051
36,148.514,0.84362,0.76182,1.10578,0.94141,0.92943,0.96098,0.78641,0.69306,0.60618,0.96179,0.000384052,0.000384052,0.000384052
37,151.33,0.77794,0.72716,1.00143,0.95837,0.94197,0.9616,0.80105,0.70572,0.59687,0.96372,0.000369054,0.000369054,0.000369054
38,154.365,0.77914,0.66842,1.02862,0.93009,0.91801,0.9524,0.77443,0.73834,0.62097,0.96345,0.000354055,0.000354055,0.000354055
39,157.148,0.76013,0.66786,1.02556,0.87199,0.92841,0.9575,0.78999,0.73587,0.59457,0.96113,0.000339057,0.000339057,0.000339057
40,161.185,0.77423,0.67172,1.02277,0.8771,0.93748,0.94154,0.78152,0.71595,0.61163,0.95546,0.000324058,0.000324058,0.000324058
41,163.915,0.72627,0.67022,0.99862,0.87996,0.91575,0.93213,0.77086,0.7188,0.61512,0.9594,0.00030906,0.00030906,0.00030906
42,166.755,0.78028,0.65658,1.04114,0.91831,0.92431,0.94026,0.78372,0.72142,0.59159,0.96111,0.000294061,0.000294061,0.000294061
43,169.654,0.74553,0.76822,0.99731,0.88784,0.9282,0.94175,0.78104,0.71603,0.58346,0.9549,0.000279063,0.000279063,0.000279063
44,173.342,0.80588,0.67744,1.01824,0.89439,0.90682,0.95207,0.78028,0.71201,0.58855,0.9533,0.000264064,0.000264064,0.000264064
45,176.647,0.77854,0.67525,1.0323,0.88993,0.90465,0.96004,0.78079,0.70995,0.57525,0.95527,0.000249066,0.000249066,0.000249066
46,179.475,0.70147,0.58809,1.01017,0.924,0.90769,0.96946,0.80015,0.70592,0.56017,0.96645,0.000234068,0.000234068,0.000234068
47,182.277,0.7139,0.59435,0.9807,0.92269,0.92883,0.96271,0.80566,0.67729,0.56214,0.94901,0.000219069,0.000219069,0.000219069
48,185.839,0.6642,0.5682,0.9484,0.90803,0.9246,0.96303,0.79413,0.66478,0.56693,0.93818,0.00020407,0.00020407,0.00020407
49,189.321,0.72155,0.59418,0.98619,0.8789,0.92036,0.96145,0.79582,0.66722,0.56176,0.94061,0.000189072,0.000189072,0.000189072
50,192.174,0.71181,0.61396,1.01849,0.91174,0.91166,0.96513,0.80681,0.70088,0.55711,0.95915,0.000174074,0.000174074,0.000174074
51,202.776,0.61107,0.53427,0.97842,0.9109,0.90806,0.9464,0.78155,0.7142,0.55726,0.96627,0.000159075,0.000159075,0.000159075
52,209.031,0.58243,0.49719,0.90423,0.91938,0.92107,0.95637,0.78593,0.67725,0.54626,0.95481,0.000144077,0.000144077,0.000144077
53,213.744,0.62505,0.49308,0.97475,0.91493,0.92531,0.95766,0.7896,0.67514,0.53982,0.95279,0.000129078,0.000129078,0.000129078
54,217.079,0.58856,0.48969,0.91958,0.90976,0.91106,0.94921,0.79808,0.6914,0.55587,0.96009,0.00011408,0.00011408,0.00011408
55,219.923,0.59047,0.48873,0.94021,0.8874,0.93379,0.94236,0.79318,0.69794,0.56255,0.96612,9.9081e-05,9.9081e-05,9.9081e-05
56,222.727,0.57057,0.46804,0.95484,0.91025,0.90565,0.93927,0.79371,0.68362,0.56785,0.95412,8.40825e-05,8.40825e-05,8.40825e-05
57,226.387,0.52164,0.43592,0.92762,0.91286,0.90582,0.94166,0.79808,0.6807,0.57239,0.95077,6.9084e-05,6.9084e-05,6.9084e-05
58,229.899,0.55409,0.43887,0.91182,0.91386,0.90902,0.93952,0.79745,0.67206,0.57593,0.94557,5.40855e-05,5.40855e-05,5.40855e-05
59,232.738,0.55574,0.4494,0.88425,0.91737,0.90958,0.93693,0.7976,0.66605,0.58035,0.94327,3.9087e-05,3.9087e-05,3.9087e-05
60,235.607,0.51921,0.41525,0.91002,0.91873,0.90875,0.93641,0.79693,0.66486,0.58006,0.94194,2.40885e-05,2.40885e-05,2.40885e-05
