epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.863,1.49164,3.95487,1.36775,0.00851,0.45601,0.03908,0.03088,0.85119,3.76337,1.05595,5.454e-05,5.454e-05,5.454e-05
2,40.2015,1.28064,3.77976,1.23324,0.03669,0.71916,0.17068,0.12903,0.8342,3.64874,0.97056,0.00011778,0.00011778,0.00011778
3,43.801,1.28002,3.50888,1.21704,0.03626,0.81156,0.14088,0.10161,0.8858,3.61717,0.99197,0.0001806,0.0001806,0.0001806
4,46.9308,1.20297,3.30573,1.16179,0.03374,0.89331,0.14293,0.10433,0.87405,3.60841,0.97933,0.000243,0.000243,0.000243
5,51.342,1.15766,3.165,1.13689,0.02592,0.90505,0.14884,0.11188,0.87748,3.56246,0.99381,0.00030498,0.00030498,0.00030498
6,54.1103,1.18824,3.04306,1.15879,0.02218,0.88917,0.16723,0.12626,0.91803,3.53023,1.01931,0.000366541,0.000366541,0.000366541
7,56.7995,1.15491,2.90356,1.15407,0.01923,0.90306,0.18052,0.13628,0.8949,3.45639,0.99248,0.000427681,0.000427681,0.000427681
8,59.3143,1.18271,2.76419,1.15969,0.01986,0.92545,0.18547,0.13848,0.94275,3.40965,0.99607,0.000488401,0.000488401,0.000488401
9,62.8564,1.18546,2.68262,1.1899,0.01848,0.9157,0.19674,0.14694,0.97875,3.37834,1.04902,0.000548701,0.000548701,0.000548701
10,65.9466,1.21513,2.59493,1.20803,0.01852,0.9076,0.18337,0.12978,1.02654,3.3393,1.07989,0.000608582,0.000608582,0.000608582
11,68.6816,1.20307,2.54198,1.20022,0.01743,0.89586,0.15521,0.10786,1.15374,3.29254,1.14946,0.000668042,0.000668042,0.000668042
12,71.3439,1.19461,2.51965,1.1931,0.06485,0.9076,0.1683,0.11673,1.0836,3.06094,1.0764,0.000727083,0.000727083,0.000727083
13,73.8797,1.19515,2.41598,1.18484,0.02611,1,0.188,0.12408,1.06401,2.99008,1.09287,0.000785703,0.000785703,0.000785703
14,77.684,1.17962,2.337,1.15575,0.16309,0.1291,0.21447,0.14569,1.12916,2.86828,1.13918,0.000843904,0.000843904,0.000843904
15,80.4864,1.22279,2.349,1.18283,0.22644,0.20703,0.24656,0.17494,1.09909,2.68831,1.09414,0.000867004,0.000867004,0.000867004
16,83.0132,1.18704,2.27488,1.14757,0.17842,0.17206,0.27482,0.18574,1.19001,2.60561,1.17783,0.000864004,0.000864004,0.000864004
17,85.5935,1.16037,2.19358,1.12481,0.16106,0.3,0.30031,0.19988,1.19106,2.53908,1.17994,0.000861005,0.000861005,0.000861005
18,88.492,1.12235,2.17919,1.09771,0.2204,0.35453,0.31355,0.20616,1.19223,2.4208,1.14995,0.000858005,0.000858005,0.000858005
19,92.2523,1.07358,2.15326,1.11842,0.22906,0.48152,0.27394,0.17999,1.1742,2.46327,1.13508,0.000855005,0.000855005,0.000855005
20,94.9102,1.09673,2.08217,1.11391,0.31611,0.41026,0.37672,0.26849,1.06275,2.26219,1.09754,0.000852006,0.000852006,0.000852006
21,97.5933,1.07582,2.03813,1.10656,0.27761,0.3465,0.36222,0.24177,1.09785,2.27036,1.14061,0.000849006,0.000849006,0.000849006
22,100.106,1.06332,2.06352,1.1139,0.28349,0.6432,0.47604,0.31232,1.04714,2.17088,1.168,0.000846006,0.000846006,0.000846006
23,103.799,1.08822,1.99735,1.11743,0.26953,0.49683,0.43053,0.29782,1.09325,2.2056,1.12551,0.000843007,0.000843007,0.000843007
24,106.695,1.07589,1.96844,1.11094,0.30326,0.62054,0.47242,0.28342,1.20221,2.23966,1.19014,0.000840007,0.000840007,0.000840007
25,109.185,1.07103,1.98349,1.12539,0.31917,0.60969,0.48932,0.35425,1.03678,2.05256,1.10821,0.000837007,0.000837007,0.000837007
26,111.633,1.01827,1.95069,1.07011,0.44058,0.49996,0.53864,0.38477,0.97433,1.97776,1.07968,0.000834007,0.000834007,0.000834007
27,114.364,1.00928,1.8767,1.05888,0.36308,0.73412,0.53092,0.39211,0.90696,1.90486,1.04123,0.000831008,0.000831008,0.000831008
28,118.451,1.01233,1.84088,1.0818,0.45829,0.50811,0.51723,0.3822,0.90483,1.95633,1.06542,0.000828008,0.000828008,0.000828008
29,121.116,1.02953,1.81605,1.0968,0.45722,0.57358,0.53086,0.37499,0.91991,1.9218,1.06847,0.000825008,0.000825008,0.000825008
30,123.824,1.06202,1.88402,1.13856,0.4162,0.54716,0.53977,0.37214,0.9022,1.88882,1.06084,0.000822009,0.000822009,0.000822009
31,126.352,1.11081,1.89148,1.14598,0.5526,0.57762,0.62243,0.45734,0.92438,1.78069,1.05887,0.000819009,0.000819009,0.000819009
32,129.627,1.01639,1.75685,1.09203,0.48049,0.71294,0.58779,0.40926,1.00529,1.8281,1.06881,0.000816009,0.000816009,0.000816009
33,133.065,1.03994,1.72717,1.10007,0.41993,0.74088,0.57791,0.42103,0.95795,1.83035,1.06518,0.00081301,0.00081301,0.00081301
34,135.946,0.97742,1.69138,1.0698,0.53186,0.71316,0.64069,0.46951,0.92326,1.75657,1.06309,0.00081001,0.00081001,0.00081001
35,138.469,1.02004,1.63523,1.06453,0.63487,0.58906,0.65296,0.48878,0.88722,1.7635,1.06761,0.00080701,0.00080701,0.00080701
36,141.066,0.99938,1.64888,1.08924,0.68941,0.58572,0.69434,0.49084,0.94562,1.7163,1.07577,0.00080401,0.00080401,0.00080401
37,144.761,0.9727,1.62083,1.06803,0.55942,0.66105,0.69725,0.47731,0.98865,1.78612,1.11717,0.000801011,0.000801011,0.000801011
38,147.569,1.00063,1.55072,1.06503,0.4774,0.7168,0.71154,0.50654,0.96347,1.77042,1.09163,0.000798011,0.000798011,0.000798011
39,150.072,0.99285,1.52737,1.05627,0.76281,0.56799,0.71846,0.52306,0.97485,1.71035,1.10446,0.000795011,0.000795011,0.000795011
40,152.618,0.99404,1.53178,1.07873,0.65832,0.7517,0.77959,0.58599,0.91906,1.53358,1.06584,0.000792012,0.000792012,0.000792012
41,155.297,0.95233,1.51836,1.04025,0.67581,0.77845,0.77586,0.57672,0.98639,1.51342,1.08308,0.000789012,0.000789012,0.000789012
