epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.4259,1.39606,3.88837,1.35727,0.00465,0.30884,0.03467,0.02549,0.96362,4.1618,1.03214,5.454e-05,5.454e-05,5.454e-05
2,35.2889,1.19496,3.7002,1.19541,0.02601,0.61633,0.08054,0.06612,0.91879,4.00058,0.94841,0.00011778,0.00011778,0.00011778
3,39.2418,1.28917,3.49595,1.21709,0.01854,0.64949,0.12562,0.11011,0.93177,3.95014,0.92593,0.0001806,0.0001806,0.0001806
4,41.8686,1.18144,3.32538,1.15515,0.01438,0.66735,0.15678,0.12762,1.00086,3.95546,0.95512,0.000243,0.000243,0.000243
5,44.4335,1.20911,3.22323,1.16008,0.01411,0.74133,0.18701,0.1401,0.97902,3.90321,0.94701,0.00030498,0.00030498,0.00030498
6,46.6305,1.1714,3.05506,1.14555,0.01347,0.86548,0.27389,0.21153,0.9606,3.86024,0.9422,0.000366541,0.000366541,0.000366541
7,49.8134,1.26911,2.93371,1.20961,0.0111,0.79745,0.2603,0.2086,1.03894,3.82627,0.97621,0.000427681,0.000427681,0.000427681
8,52.3859,1.1816,2.81127,1.16427,0.01056,0.77619,0.20079,0.15483,1.06227,3.81513,0.97436,0.000488401,0.000488401,0.000488401
9,54.526,1.23496,2.70552,1.19807,0.01064,0.78435,0.24154,0.18038,1.05389,3.70858,0.98364,0.000548701,0.000548701,0.000548701
10,56.7135,1.22766,2.57551,1.22135,0.01014,0.80221,0.24712,0.18942,1.14474,3.61919,1.03171,0.000608582,0.000608582,0.000608582
11,59.0456,1.14458,2.49118,1.13019,0.01061,0.82602,0.18819,0.13857,1.24481,3.54484,1.06912,0.000668042,0.000668042,0.000668042
12,61.3235,1.19198,2.44003,1.18122,0.01325,0.98214,0.22447,0.15109,1.12699,3.27561,1.05282,0.000727083,0.000727083,0.000727083
13,64.4619,1.19635,2.38968,1.18827,0.16564,0.62138,0.38188,0.26203,1.12789,3.17672,1.07321,0.000785703,0.000785703,0.000785703
14,66.6492,1.17675,2.34289,1.16999,0.58373,0.16633,0.33905,0.21428,1.17391,3.06807,1.07654,0.000843904,0.000843904,0.000843904
15,69.004,1.19419,2.30607,1.18186,0.12585,0.26105,0.34455,0.2528,1.08602,2.83688,1.021,0.000867004,0.000867004,0.000867004
16,71.0497,1.12983,2.23662,1.15067,0.2569,0.42058,0.40802,0.29869,1.19175,2.63361,1.09743,0.000864004,0.000864004,0.000864004
17,73.1802,1.17081,2.199,1.14794,0.19713,0.49711,0.41276,0.29886,1.16752,2.57838,1.08592,0.000861005,0.000861005,0.000861005
18,75.8457,1.12044,2.15413,1.15075,0.15866,0.46552,0.37017,0.26745,1.04411,2.58374,1.01828,0.000858005,0.000858005,0.000858005
19,78.7173,1.1024,2.1306,1.15208,0.18312,0.5565,0.39543,0.27666,1.07314,2.48766,1.03261,0.000855005,0.000855005,0.000855005
