epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.7639,1.4081,3.89654,1.33437,0.24466,0.3691,0.12785,0.09114,0.92769,3.5013,1.11288,5.454e-05,5.454e-05,5.454e-05
2,42.1848,1.11955,2.87159,1.1796,0.10302,0.59425,0.18055,0.12664,0.95015,2.98206,1.07715,0.00011778,0.00011778,0.00011778
3,46.6024,1.0892,2.40022,1.14707,0.18197,0.54949,0.24676,0.19097,0.92405,2.94144,1.10217,0.0001806,0.0001806,0.0001806
4,50.6694,1.02954,2.32733,1.08522,0.25335,0.33282,0.28093,0.20225,1.01909,2.9878,1.16995,0.000243,0.000243,0.000243
5,55.1969,1.02341,1.92377,1.08852,0.23893,0.4894,0.31198,0.18391,1.19628,2.7967,1.32924,0.00030498,0.00030498,0.00030498
6,58.2471,1.0987,1.82425,1.12461,0.2964,0.56225,0.34214,0.21404,1.28065,2.76657,1.4243,0.000366541,0.000366541,0.000366541
7,61.554,1.04106,1.67234,1.09531,0.47427,0.63526,0.46054,0.23595,1.56686,2.90986,1.73762,0.000427681,0.000427681,0.000427681
8,65.8494,1.12889,1.60284,1.1545,0.56735,0.65018,0.60552,0.36859,1.32178,2.23772,1.50961,0.000488401,0.000488401,0.000488401
9,69.2641,1.06482,1.5137,1.15917,0.53374,0.68836,0.61589,0.33508,1.53579,1.99614,1.77837,0.000548701,0.000548701,0.000548701
10,72.3691,1.06627,1.37384,1.20021,0.4985,0.67979,0.67394,0.42206,1.35655,1.73537,1.55241,0.000608582,0.000608582,0.000608582
11,75.4516,1.05474,1.40054,1.14191,0.66677,0.65312,0.72126,0.50627,1.17374,1.48465,1.43845,0.000668042,0.000668042,0.000668042
12,79.9306,1.06576,1.41402,1.1281,0.40653,0.58753,0.61249,0.34957,1.38683,1.94184,1.61235,0.000727083,0.000727083,0.000727083
13,83.2424,1.0428,1.21459,1.15333,0.52763,0.64648,0.65664,0.42562,1.31271,1.81394,1.53406,0.000785703,0.000785703,0.000785703
14,86.346,1.09072,1.23033,1.16969,0.37812,0.62481,0.51647,0.28467,1.4025,2.07616,1.57561,0.000843904,0.000843904,0.000843904
15,89.3659,1.06133,1.18331,1.14586,0.37756,0.4436,0.42678,0.19854,1.48033,2.30224,1.58796,0.000867004,0.000867004,0.000867004
16,93.3733,0.96262,1.06026,1.0889,0.26931,0.58954,0.39268,0.20166,1.6351,2.49374,1.77848,0.000864004,0.000864004,0.000864004
17,96.833,0.93598,1.01347,1.06322,0.31853,0.6174,0.41499,0.20909,1.65181,2.55374,1.78453,0.000861005,0.000861005,0.000861005
18,99.8708,1.03591,1.04521,1.10241,0.37354,0.63934,0.5583,0.29384,1.52003,1.99393,1.68514,0.000858005,0.000858005,0.000858005
19,102.806,0.94332,0.9415,1.10018,0.53451,0.60029,0.57791,0.3063,1.72841,1.84292,1.86309,0.000855005,0.000855005,0.000855005
20,106.012,0.99537,0.99462,1.10193,0.6506,0.72265,0.77874,0.44665,1.35667,1.44264,1.59009,0.000852006,0.000852006,0.000852006
